Last Name,First Name,KIA,War
MELLEN, ERNEST,FALSE,WW1
MELLO, JOHN C,FALSE,WW1
MELLO, JOSEPH,FALSE,WW1
MERCHANT, MARCIUS H,FALSE,WW1
MERCIER, ALBERT M,FALSE,WW1
MERCIER, HENRY,FALSE,WW1
MERCIER, NAPOLEON,FALSE,WW1
MERTON, HERBERT P,FALSE,WW1
MESSIER, CHARLES A,FALSE,WW1
MESSIER, FRANK,FALSE,WW1
MESSIER, JOSEPH A,FALSE,WW1
MEYERS, CHARLES S,FALSE,WW1
MITCHELL, REUBEN E,FALSE,WW1
MOGAYZEL, SIMON,FALSE,WW1
MONGEAU, LOUIS J,FALSE,WW1
MORIN, WILFRED,FALSE,WW1
MORRISSEY, HARRY R,FALSE,WW1
MORRISSEY, THOMAS M,FALSE,WW1
MUIR, JAMES M,FALSE,WW1
MURPHY, EDWARD P,FALSE,WW1
MYERS, CHARLES L,TRUE,WW1
NANS, EDWARD A,FALSE,WW1
NATALE, CARLO,FALSE,WW1
NATEL, JOSEPH,FALSE,WW1
NELLE, MARTIN T JR,FALSE,WW1
NORGAARD, HAAKON,FALSE,WW1
NORTON, DANIEL W,FALSE,WW1
O'LEARY, JERRY D,FALSE,WW1
OLIVE, ALFRED T,FALSE,WW1
OVERWOOD, HENRY,FALSE,WW1
PAGE, RICHARD,FALSE,WW1
PAGE, WILFRED P,FALSE,WW1
PAIVA, MANUEL,FALSE,WW1
PAQUIN, HENRY O,FALSE,WW1
PAQUIN, VICTOR,FALSE,WW1
PARENT, JOSEPH,FALSE,WW1
PARENT, LEO,FALSE,WW1
PARENT, WILFRED,FALSE,WW1
PATTERSON, JOHN B,FALSE,WW1
PATTIE, SIMON J,FALSE,WW1
PATTIE, THOMAS,FALSE,WW1
PAWLOSKI, CHARLES,FALSE,WW1
PETRELLA, ALEXANDER,FALSE,WW1
PHANEUF, EUCLID,FALSE,WW1
PICHARD, ALPHONSO W,FALSE,WW1
PIERCE, WILLIAM J,TRUE,WW1
PINKOS, STANLEY,FALSE,WW1
POISSON, WILLIAM,FALSE,WW1
